objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,
grinnell_5768,57,,,David Weston and Mary Gae Wyly in the Library,"Mcmullin, Roger W.",1972-04,"David Weston, class of 1973, and Mary Gae Wyly, reference librarian, looking through the library catalog. Wyly was reportedly one of the librarians who worked on reorganizing and expanding the Black Library. ",Life at Grinnell; Burling Library,"Grinnell, IA",,,Grinnell College,grinnell:5768,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5768_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5768_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5768_TN.jpg,,,,,
grinnell_5003,58,,,Irma McClaurin,"Sableman, Mark S.",1972,Photo of Irma McClaurin '72. McClaurin was an active member of CBS and participated in the Burling Library Take Over,Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:5003,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5003_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5003_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5003_TN.jpg,,,,,
grinnell_5770,59,,,Mfon Sbangha,"Mcmullin, Roger W.",04-1972,"Mfon Sbangha, class of 1974, at a microscope.",Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:5770,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5770_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5770_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5770_TN.jpg,,,,,
,60,,,Scarlet & Black Dec 1 1971 v80 n 15,,1971-12-01,View of Burling from outside the library during the take over from the December 1st 1971 edition of the Scarlet & Black ,Burling Library; Concerned Black Students (CBS);Burling Library Take Over,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,61,,,Scarlet & Black September 22 1972 v81 n 5,,1972-09-22,"Photo of Black library as it was in fall 1972, published in the Scarlet and Black",Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,62,,,Scarlet & Black Feburary  11 1972 v80 n 20,,1972-02-11,The Scarlet and Black article  “Enlarge the black library?” discussed the debate around the size of the Black library collection and included a sketch of  three shelves the first iteration of the Black Library occupied. Published in the 2/11/1972 edition. ,Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,63,,,Scarlet & Black Feburary  18 1972 v80 n 21,,1972-02-18,Dean Walker address the students who were reshelving books in the Twentieth Century Room to protest the lack of a Black Library. Published in 2/18/1972 edition of the Scarlet and Black,Burling Library; Concerned Black Students (CBS);Burling Library Take Over,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,64,,,Scarlet & Black Dec 7 1971 ,,1971-12-07,"On page 1: ""Blacks, SGA Meet with Trustees"", Page 4: President Glenn Leggett's response to the demands in the Black Manifesto, including the institution of a Black Library",Burling Library Take Over,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,65,,,Scarlet & Black Feburary  18 1972 v80 n 21 page 4,,1972-02-18,Includes Editorial about the Black Library,Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,66,,,Scarlet & Black Feburary 25 1972 page 4,,1972-02-25,"""Lalonde Expand Library Statement"" letter to the editor by G.V. Lalonde about the library committee meeting held on 2/17/1972 to discuss the black library",Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,67,,,Scarlet & Black Feburary 25 1972 page 6,,1972-02-25,"""Wright Discusses Black Views"" Lawerence Wright, president of CBS, gave an interview about the Black manifesto demands, including the Black Library",Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,68,,,"Scarlet & Black March 3, 1972 page 7",,1972-03-03,"""Propose Small Black Library"" Article providing updates on the black library",Burling Library,"Grinnell, IA",,,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,69,,,Scarlet and Black December 8 1972 page 2,,1972-12-08,"""Barlow: Vibrant, Varied Emotions"" Article by Irma McClaurin about Barlow's public reading in the Black Library. Includes picture of the Black Library behind Barlow. ",Burling Library,"Grinnell, IA",42.74665973,-91.72017393,Grinnell College,,Text; newspaper,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,,,,,,
,70,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,,,,,,,,,,,,,,,,,,,,,,,,,
