objectid,sort_index,parentid,admin_notes,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,
grinnell_31972,21,,,"Burling Library Takeover Commemoration, 2006",,2006,This photograph was taken in 2006 at an event commemorating the 1971 takeover of Burling Library by CBS (Concerned Black Students).,Life at Grinnell; Burling Library,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell;31972,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_31972_OBJ.jpg,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_31972_TN.jpg,,,,,
dg_1711472907,22,,Was compound object grinnell:4932 converted to multi-page PDF,CBS Manifesto and Minutes of Faculty Meeting regarding the Manifesto,Concerned Black Students,1971-11-29,"This includes two versions of the Concerned Black Students' (CBS) Manifesto, the second of which was submitted to the college as a list of demands on the part of black students on campus. A special faculty meeting was held to discuss the demands, the minutes from which also appear here.",Burling Library; Concerned Black Students (CBS);Burling Library Take Over,"Grinnell, IA",41.74665973,-92.72017393,Grinnell College,grinnell:10547,text; miscellaneous document,text/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/dg_1711472907_OBJ.pdf,https://dgobjects.blob.core.windows.net/smalls/dg_1711472907_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/dg_1711472907_TN.jpg,,,,,
grinnell_5001,23,,,"CBS Cheerleaders, 1968",,1968,"Photo of CBS cheerleaders, 1968. Front to back: Micki Weston, Unknown, Shirley, Linda Copeland.",Concerned Black Students (CBS); Life at Grinnell,"Grinnell, IA",,,Grinnell College,grinnell:5001,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_5001_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_5001_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_5001_TN.jpg,,,,,
grinnell_1890,24,,,Information Concerning Grinnell College's Buildings And Facilities Including Facts Related To Its History,"Walker, Waldo S.",9/3/1997,"A timeline of facts related to Grinnell College history, including enrollment, tuition, and building information. Includes information on guest speakers on campus, student activism, and the Burling Library Take Over",Life at Grinnell; Burling Library,"Grinnell, IA",,,Grinnell College,grinnell:1890,text; miscellaneous document,application/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/grinnell_1890_OBJ.pdf,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_1890_TN.jpg,,,,,
grinnell_23385,25,,,"Jon Royal '70, Diane Alters '71, Mary Brooner '71 & Sheena Thomas '71","Elias, Benyamin '15;McFate, Mackenzie '18; 	Maly, Nancy '61 ","May 29, 2015","Alumni oral history interview with Jon Royal '70, Diane Alters '71, Mary Brooner '71 & Sheena Thomas '71. Recorded May 29, 2015. These students were a part of an exchange program with the Historically Black College (HBCU) LeMoyne-Owen College. ",,"Grinnell, IA",,,Grinnell College,grinnell:23385,interview;sound recording-nonmusical,audio/mp3,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,audio,,,,,,,,
grinnell_34345,26,,,"Pterodactyl April 30, 1968",,,"The Pterodactyl was an underground student newspaper published between February 8, 1968 and November 1969. This issue contained an article and a photo of CBS, including Ed Wright. ",Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:34345,mixed material; text,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_34345_TN.jpg,,,,,
grinnell_34341,27,,,"Pterodactyl September 23, 1968",,1968-09-23,"The Pterodactyl was an underground student newspaper published between February 8, 1968 and November 1969. This issue contained articles on the Concerned Black Students (CBS) meeting that stated an a series of objectives including “Project 7-A Black Library to be in-corporated as a part (permanent) or Burling or a separate library. This will 1nolude works by Black writers” ",Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:34341,mixed material; text,scan/pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/grinnell_34341_OBJ.pdf,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_34341_TN.jpg,,,,,
grinnell_10586,28,,,An Evening In Ebony,Concerned Black Students,1980-11-01,"The program of ""An Evening in Ebony"", an adaptation of Erma Clanton's ""An Evening of Soul""",Life at Grinnell; Concerned Black Students,"Grinnell, IA",,,Grinnell College,grinnell:10586,text;Ephemera,reformated digital/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,image,https://dgobjects.blob.core.windows.net/objs/grinnell_10586_OBJ.tiff,https://dgobjects.blob.core.windows.net/smalls/grinnell_10586_JPG.jpg,https://dgobjects.blob.core.windows.net/thumbs/grinnell_10586_TN.jpg,,,,,
grinnell_20022,29,,,The Liberal Arts College in a World of Change,,10-1967,"The program for the closing event of a three-day long convocation, ""The Liberal Arts College in a World of Change.""",Life at Grinnell; Martin Luther King,"Grinnell, IA",41.75272009,92.71771508,Grinnell College,grinnell:20022,text;program,reformated digital; pdf,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,pdf,https://dgobjects.blob.core.windows.net/objs/grinnell_20022_OBJ.pdf,,https://dgobjects.blob.core.windows.net/thumbs/grinnell_20022_TN.jpg,,,,,
grinnell_4963,30,,"This is a compound parent with 3 .tiff children, grinnell:10610-10612","Black Martyrs' Weekend 1978 (April 22, 1978) - 3 Photos",,1978-04-22,"Photographs of the 1978 Black Martyrs' Weekend, which included Angela Davis as a speaker.",Life at Grinnell; Black Martyr's Weekend,"Grinnell, IA",,,Grinnell College,grinnell:4963,Image;StillImage,image/tiff,eng,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,compound_object,,,,,,,,
